block_id,trip_id,trip_headsign,departure_time,arrival_time
bramp004,20171021-31-31202,31F - Union Station,07:00:00,08:15:00
bramp004,20171021-31-31233,31F - Georgetown GO,08:50:00,10:05:00
bramp004,20171021-31-31372,31F - Union Station,10:50:00,12:35:00
bramp004,20171021-31-31413,31F - Georgetown GO,13:20:00,14:45:00
bramp005,20171021-36-36130,36 - York Mills Term,07:00:00,07:50:00
bramp005,20171021-36-36211,36 - Brampton Term,08:20:00,09:15:00
bramp005,20171021-36-36280,36 - York Mills Term,10:00:00,10:55:00
bramp005,20171021-36-36331,36 - Brampton Term,11:20:00,12:20:00
bramp005,20171021-36-36400,36 - York Mills Term,13:00:00,14:05:00
bramp005,20171021-36-36451,36 - Brampton Term,14:20:00,15:25:00
bramp006,20171021-31-31222,31F - Union Station,07:30:00,08:50:00
bramp006,20171021-31-31253,31F - Georgetown GO,09:20:00,10:35:00
bramp006,20171021-31-31390,31F - Union Station,11:20:00,13:05:00
bramp006,20171021-31-31453,31F - Georgetown GO,14:20:00,15:50:00
bramp007,20171021-36-36160,36 - York Mills Term,07:30:00,08:20:00
bramp007,20171021-36-36231,36 - Brampton Term,08:50:00,09:45:00
bramp007,20171021-36-36300,36 - York Mills Term,10:30:00,11:30:00
bramp007,20171021-36-36351,36 - Brampton Term,11:50:00,12:50:00
bramp007,20171021-36-36420,36 - York Mills Term,13:30:00,14:35:00
bramp007,20171021-36-36471,36 - Brampton Term,14:50:00,15:55:00
bramp008,20171021-31-31210,31L - Union Station,07:45:00,08:30:00
bramp008,20171021-31-31271,31L - Bramalea GO,09:00:00,09:40:00
bramp008,20171021-31-31320,31L - Union Station,10:15:00,11:10:00
bramp008,20171021-31-31341,31L - Bramalea GO,11:30:00,12:15:00
bramp008,20171021-31-31420,31L - Union Station,12:45:00,13:40:00
bramp008,20171021-31-31441,31L - Bramalea GO,14:00:00,14:45:00
bramp009,20171021-36-36190,36 - York Mills Term,08:00:00,08:50:00
bramp009,20171021-36-36251,36 - Brampton Term,09:20:00,10:15:00
bramp009,20171021-36-36320,36 - York Mills Term,11:00:00,12:00:00
bramp009,20171021-36-36371,36 - Brampton Term,12:20:00,13:25:00
bramp009,20171021-36-36460,36 - York Mills Term,14:30:00,15:35:00
bramp009,20171021-36-36531,36 - Brampton Term,15:50:00,16:55:00
bramp010,20171021-31-31230,31L - Union Station,08:15:00,09:00:00
bramp010,20171021-31-31261,31L - Bramalea GO,09:30:00,10:10:00
bramp010,20171021-31-31340,31L - Union Station,10:45:00,11:40:00
bramp010,20171021-31-31361,31L - Bramalea GO,12:00:00,12:45:00
bramp010,20171021-31-31450,31L - Union Station,13:15:00,14:10:00
bramp010,20171021-31-31461,31L - Bramalea GO,14:30:00,15:15:00
bramp011,20171021-31-31250,31L - Union Station,08:45:00,09:30:00
bramp011,20171021-31-31291,31L - Bramalea GO,10:00:00,10:40:00
bramp011,20171021-31-31360,31L - Union Station,11:15:00,12:10:00
bramp011,20171021-31-31381,31L - Bramalea GO,12:30:00,13:15:00
bramp011,20171021-31-31460,31L - Union Station,13:45:00,14:40:00
bramp011,20171021-31-31481,31L - Bramalea GO,15:00:00,15:45:00
bramp011,20171021-31-31600,31L - Union Station,16:15:00,17:10:00
bramp011,20171021-31-31631,31L - Bramalea GO,17:30:00,18:20:00
bramp012,20171021-31-31292,31F - Union Station,08:55:00,10:25:00
bramp012,20171021-31-31313,31F - Georgetown GO,10:50:00,12:10:00
bramp013,20171021-31-31280,31L - Union Station,09:15:00,10:00:00
bramp013,20171021-31-31301,31L - Bramalea GO,10:30:00,11:10:00
bramp013,20171021-31-31380,31L - Union Station,11:45:00,12:40:00
bramp013,20171021-31-31391,31L - Bramalea GO,13:00:00,13:45:00
bramp013,20171021-31-31480,31L - Union Station,14:15:00,15:10:00
bramp013,20171021-31-31563,31F - Georgetown GO,16:20:00,17:55:00
bramp014,20171021-31-31310,31F - Union Station,09:25:00,11:00:00
bramp014,20171021-31-31333,31F - Georgetown GO,11:20:00,12:40:00
bramp014,20171021-31-31472,31F - Union Station,13:20:00,15:05:00
bramp014,20171021-31-31511,31L - Bramalea GO,15:30:00,16:15:00
bramp014,20171021-31-31630,31L - Union Station,16:45:00,17:40:00
bramp014,20171021-31-31661,31L - Bramalea GO,18:00:00,18:50:00
bramp015,20171021-31-31430,31F - Union Station,12:20:00,14:05:00
bramp015,20171021-31-31473,31F - Georgetown GO,14:50:00,16:20:00
bramp015,20171021-31-31672,31F - Union Station,16:50:00,18:35:00
bramp015,20171021-31-31713,31F - Georgetown GO,19:20:00,20:45:00
bramp016,20171021-36-36440,36 - York Mills Term,14:00:00,15:05:00
bramp016,20171021-36-36501,36 - Brampton Term,15:20:00,16:25:00
bramp016,20171021-36-36600,36 - York Mills Term,17:00:00,18:05:00
bramp016,20171021-36-36671,36 - Brampton Term,18:20:00,19:20:00
bramp016,20171021-36-36740,36 - York Mills Term,20:00:00,20:55:00
bramp016,20171021-36-36791,36 - Brampton Term,21:20:00,22:15:00
bramp017,20171021-36-36480,36 - York Mills Term,15:00:00,16:05:00
bramp017,20171021-36-36561,36 - Brampton Term,16:20:00,17:25:00
bramp017,20171021-36-36660,36 - York Mills Term,18:00:00,19:05:00
bramp017,20171021-36-36711,36 - Brampton Term,19:20:00,20:20:00
bramp017,20171021-36-36780,36 - York Mills Term,21:00:00,21:55:00
bramp017,20171021-36-36831,36 - Brampton Term,22:20:00,23:15:00
bramp018,20171021-31-31540,31L - Union Station,15:15:00,16:10:00
bramp018,20171021-31-31571,31L - Bramalea GO,16:30:00,17:20:00
bramp018,20171021-31-31700,31L - Union Station,18:15:00,19:10:00
bramp018,20171021-31-31721,31L - Bramalea GO,19:30:00,20:15:00
bramp018,20171021-31-31790,31L - Union Station,20:45:00,21:35:00
bramp018,20171021-31-31831,31L - Bramalea GO,22:30:00,23:10:00
bramp019,20171021-31-31570,31L - Union Station,15:45:00,16:40:00
bramp019,20171021-31-31601,31L - Bramalea GO,17:00:00,17:50:00
bramp019,20171021-31-31720,31L - Union Station,18:45:00,19:40:00
bramp019,20171021-31-31761,31L - Bramalea GO,20:30:00,21:10:00
bramp019,20171021-31-31841,31F - Georgetown GO,22:50:00,24:10:00
bramp020,20171021-36-36540,36 - York Mills Term,16:00:00,17:05:00
bramp020,20171021-36-36621,36 - Brampton Term,17:20:00,18:25:00
bramp020,20171021-36-36700,36 - York Mills Term,19:00:00,20:00:00
bramp020,20171021-36-36751,36 - Brampton Term,20:20:00,21:20:00
bramp020,20171021-36-36820,36 - York Mills Term,22:00:00,22:50:00
